OBJECT_NAME,LOCATOR,VALUE,X_COORD,Y_COORD,WIDTH,HEIGHT
EMBER857_GLYPHICON_USER,By.CSS_SELECTOR,#ember857>.glyphicon-user,1162,18,12,12
EMBER942_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember942>.glyphicon-briefcase,1258,18,12,12
CLASS_GLYPHICON_QUESTION_SIGN,By.CLASS_NAME,glyphicon-question-sign,1444,18,12,12
EMBER757_GLYPHICON_LOG_OUT,By.CSS_SELECTOR,#ember757>.glyphicon-log-out,1477,18,12,12
CLASS_LOGO_MAIN,By.CLASS_NAME,logo-main,80,20,100,100
CLASS_NOTIFICATION,By.CLASS_NAME,notification,180,30,4,4
ID_EMBER1310,By.ID,ember1310,1252,83,285,34
GLYPHICON_SHOPPING_CART,By.CSS_SELECTOR,h1>.glyphicon-shopping-cart,308,104,36,36
ORDERS,By.LINK_TEXT,Orders,308,155,76,42
PULL_RIGHT_BTN_DEFAULT_SM_DESIGNER_VIEW,By.CSS_SELECTOR,button.pull-right.btn.btn-default.btn-sm,1405,155,131,30
CLASS_GLYPHICON_PLUS,By.CLASS_NAME,glyphicon-plus,1416,163,12,12
CLASS_GLYPHICON_DASHBOARD,By.CLASS_NAME,glyphicon-dashboard,32,166,14,14
EMBER992_GLYPHICON_SHOPPING_CART,By.CSS_SELECTOR,#ember992>.glyphicon-shopping-cart,32,202,14,14
CLASS_GLYPHICON_TH,By.CLASS_NAME,glyphicon-th,32,238,14,14
SEARCH,By.CSS_SELECTOR,h2,413,249,1123,33
EMBER1035_GLYPHICON_CERTIFICATE,By.CSS_SELECTOR,#ember1035>.glyphicon-certificate,32,274,14,14
XS_2_OFFSET_1_REFERENCE_CUSTOMER_NAME,By.CSS_SELECTOR,div.col-xs-2.col-xs-offset-1>h4,413,302,180,38
CONTAINS_TEXT_PAYMENT_0,By.XPATH,//h4[contains(text()@@@"Payment")],623,302,180,19
CONTAINS_TEXT_STATUS,By.XPATH,//h4[contains(text()@@@"Status")],833,302,180,19
CONTAINS_TEXT_CREATOR,By.XPATH,//h4[contains(text()@@@"Creator")],1042,302,180,19
CONTAINS_TEXT_SORT_BY_DATE,By.XPATH,//h4[contains(text()@@@"Sort By Date")],1252,302,180,19
EMBER1046_GLYPHICON_BRIEFCASE,By.CSS_SELECTOR,#ember1046>.glyphicon-briefcase,32,310,14,14
